"Company name","ASX code","GICS industry group","price","high","low","change","volume"
"ISHARES S&P MID-CAP ETF","IJH","Not Applic",,"","","",""
"MOQ LIMITED","MOQ","Software & Services","0.2800","0.2800","0.2700","0.0104","35954"
"1-PAGE LIMITED","1PG","Software & Services",,"","","",""
"1300 SMILES LIMITED","ONT","Health Care Equipment & Services","6.8400","6.8400","6.8400","-0.0103","120"
"1ST GROUP LIMITED","1ST","Health Care Equipment & Services",,"0.0470","0.0470","0.0000","2000"
"333D LIMITED","T3D","Technology Hardware & Equipment","0.0070","0.0070","0.0070","-0.0009","45000"
"360 CAPITAL GROUP","TGP","Real Estate",,"1.0150","1.0000","-0.0099","22202"
"360 CAPITAL TOTAL RETURN FUND","TOT","Not Applic",,"1.2000","1.2000","0.0000","3500"
"3D OIL LIMITED","TDO","Energy","0.0510","0.0510","0.0510","0.0000","10000"
"3D RESOURCES LIMITED","DDD","Materials","0.0100","0.0100","0.0100","-0.0009","1251737"
"3P LEARNING LIMITED..","3PL","Consumer Services",,"0.9800","0.9700","0.0050","12845"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment",,"0.0340","0.0330","0.0000","750596"
"88 ENERGY LIMITED","88E","Energy",,"0.0340","0.0340","-0.0044","1781486"
"8COMMON LIMITED","8CO","Software & Services",,"0.0360","0.0360","0.0010","14750"
"8I HOLDINGS LTD","8IH","Diversified Financials",,"0.4050","0.4050","0.0000","17000"
"8IP EMERGING COMPANIES LIMITED","8EC","Not Applic",,"0.9200","0.9200","0.0153","27500"
"9 SPOKES INTERNATIONAL LIMITED","9SP","Software & Services",,"0.1000","0.1000","-0.0048","50791"
"99 WUXIAN LIMITED","NNW","Retailing",,"0.0700","0.0700","0.0000","9900"
"A-CAP RESOURCES LIMITED","ACB","Energy",,"0.0580","0.0580","0.0080","225000"
"A.C.N. 004 410 833 LIMITED","ARI","Materials",,"","","",""
"A1 INVESTMENTS & RESOURCES LTD","AYI","Diversified Financials",,"","","",""
"ABACUS PROPERTY GROUP","ABP","Real Estate",,"3.6050","3.5800","-0.0394","50045"
"ABERDEEN LEADERS LIMITED","ALR","Diversified Financials",,"1.1700","1.1700","0.0308","8093"
"ABILENE OIL AND GAS LIMITED","ABL","Energy",,"0.0080","0.0080","0.0000","3200"
"ABM RESOURCES NL","ABU","Materials",,"0.1150","0.1100","0.0052","65000"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","AEG","Not Applic",,"1.0550","1.0550","-0.0050","4201"
"ABUNDANT PRODUCE LIMITED","ABT","Food, Beverage & Tobacco",,"0.4150","0.4150","0.0156","10000"
"ACACIA COAL LIMITED","AJC","Energy",,"","","",""
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services",,"0.3050","0.3050","0.0000","81339"
"ACCENT RESOURCES NL","ACS","Materials",,"0.0250","0.0250","0.0000","1"
"ACONEX LIMITED","ACX","Software & Services",,"3.9600","3.9400","-0.0736","33593"
