"Company name","ASX code","GICS industry group","Price","High","Low","Change","Volume"
"ISHARES S&P MID-CAP ETF","IJH","Not Applic",,"","","",""
"MOQ LIMITED","MOQ","Software & Services","0.2600","0.2600","0.2600","0.0000","3000"
"1-PAGE LIMITED","1PG","Software & Services",,"","","",""
"1300 SMILES LIMITED","ONT","Health Care Equipment & Services","6.6200","6.6200","6.5800","0.0305","14053"
"1ST GROUP LIMITED","1ST","Health Care Equipment & Services","0.0640","0.0640","0.0640","0.0010","29995"
"333D LIMITED","T3D","Technology Hardware & Equipment","0.0060","0.0060","0.0060","0.0000","250000"
"360 CAPITAL GROUP","TGP","Real Estate","0.9800","0.9800","0.9700","0.0152","33288"
"360 CAPITAL TOTAL RETURN FUND","TOT","Not Applic","1.2000","1.2000","1.2000","0.0000","4"
"3D OIL LIMITED","TDO","Energy","0.0680","0.0680","0.0680","-0.0063","16850"
"3D RESOURCES LIMITED","DDD","Materials","0.0100","0.0100","0.0100","-0.0009","267600"
"3P LEARNING LIMITED..","3PL","Consumer Services","1.3200","1.3200","1.3000","0.0413","78861"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment","0.0280","0.0280","0.0280","0.0000","23591"
"88 ENERGY LIMITED","88E","Energy","0.0170","0.0170","0.0170","0.0000","4709937"
"8COMMON LIMITED","8CO","Software & Services","0.0550","0.0550","0.0550","0.0000","20000"
"8I HOLDINGS LTD","8IH","Diversified Financials","0.4000","0.4000","0.4000","0.0000","6000"
"8IP EMERGING COMPANIES LIMITED","8EC","Not Applic","1.0000","1.0000","1.0000","0.0256","8334"
"9 SPOKES INTERNATIONAL LIMITED","9SP","Software & Services","0.1150","0.1150","0.1150","0.0052","50000"
"99 WUXIAN LIMITED","NNW","Retailing","0.0600","0.0600","0.0550","0.0021","10000"
"A-CAP RESOURCES LIMITED","ACB","Energy","0.0450","0.0450","0.0450","-0.0019","15000"
"A.C.N. 004 410 833 LIMITED","ARI","Materials",,"","","",""
"A1 INVESTMENTS & RESOURCES LTD","AYI","Diversified Financials",,"","","",""
"ABACUS PROPERTY GROUP","ABP","Real Estate","3.7800","3.7800","3.7700","0.0102","89411"
"ABERDEEN LEADERS LIMITED","ALR","Diversified Financials","1.1500","1.1500","1.1500","-0.0148","2460"
"ABILENE OIL AND GAS LIMITED","ABL","Energy","0.0070","0.0070","0.0070","0.0000","1143"
"ABM RESOURCES NL","ABU","Materials","0.1200","0.1200","0.1200","0.0000","5378"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","AEG","Not Applic","1.0350","1.0350","1.0350","0.0000","9636"
"ABUNDANT PRODUCE LIMITED","ABT","Food, Beverage & Tobacco","0.4300","0.4300","0.4300","-0.0049","700"
"ACACIA COAL LIMITED","AJC","Energy",,"","","",""
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services","0.3350","0.3350","0.3300","0.0000","11700"
"ACCENT RESOURCES NL","ACS","Materials",,"0.0220","0.0220","0.0000","2500"
"ACONEX LIMITED","ACX","Software & Services","4.0100","4.0700","4.0000","0.0201","112519"
"ACORN CAPITAL INVESTMENT FUND LIMITED","ACQ","Not Applic","0.9750","0.9800","0.9750","0.0000","55105"
"ACRUX LIMITED","ACR","Pharmaceuticals, Biotechnology & Life Sciences","0.1900","0.1900","0.1850","0.0000","62274"
"ACTINOGEN MEDICAL LIMITED","ACW","Pharmaceuticals, Biotechnology & Life Sciences","0.0530","0.0530","0.0530","-0.0010","65307"
"ACTIVEX LIMITED","AIV","Materials","0.1700","0.1700","0.1700","0.0000","7200"
"ACTIVISTIC LIMITED","ACU","Software & Services",,"","","",""
"ADACEL TECHNOLOGIES LIMITED","ADA","Software & Services","2.9100","2.9600","2.9100","-0.0396","32486"
"ADAIRS LIMITED","ADH","Retailing","1.6150","1.6350","1.6150","0.0000","45966"
"ADALTA LIMITED","1AD","Pharmaceuticals, Biotechnology & Life Sciences","0.2250","0.2250","0.2250","0.0000","20000"
"ADAVALE RESOURCES LIMITED","ADD","Energy",,"0.0150","0.0150","0.0000","27409"
"ADCORP AUSTRALIA LIMITED","AAU","Media","0.0090","0.0090","0.0090","0.0000","135000"
"ADELAIDE BRIGHTON LIMITED","ABC","Materials","5.7900","5.7900","5.7700","0.0098","130504"
"ADG GLOBAL SUPPLY LIMITED.","ADQ","Capital Goods",,"","","",""
"ADHERIUM LIMITED","ADR","Health Care Equipment & Services","0.1050","0.1050","0.1050","0.0000","31495"
"ADMEDUS LTD","AHZ","Health Care Equipment & Services","0.2500","0.2500","0.2500","-0.0049","3350"
"ADMIRALTY RESOURCES NL.","ADY","Materials","0.0070","0.0070","0.0070","0.0000","1752"
"ADSLOT LTD","ADJ","Software & Services","0.0500","0.0500","0.0500","0.0010","73186"
"ADVANCED BRAKING TECHNOLOGY LTD","ABV","Automobiles & Components","0.0050","0.0050","0.0050","0.0000","253000"
"ADVANCED NANO TECHNOLOGIES LIMITED","ANO","Materials","0.5000","0.5000","0.5000","-0.0098","1200"
"ADVANCED SHARE REGISTRY LIMITED","ASW","Diversified Financials","0.7800","0.7800","0.7800","0.0000","4350"
"ADX ENERGY LTD","ADX","Energy","0.0130","0.0130","0.0130","0.0000","992807"
"AEERIS LTD","AER","Software & Services",,"","","",""
"AEON METALS LIMITED.","AML","Materials","0.1600","0.1600","0.1550","0.0052","143964"
"AERIS ENVIRONMENTAL LTD","AEI","Commercial & Professional Services","0.2500","0.2500","0.2500","0.0218","12000"
"AERIS RESOURCES LIMITED","AIS","Materials","0.0700","0.0700","0.0700","0.0000","2210"
"AFRICAN ENERGY RESOURCES LIMITED","AFR","Energy","0.0450","0.0450","0.0450","0.0021","12000"
"AFT CORPORATION LIMITED","AFT","Capital Goods","0.0010","0.0010","0.0010","0.0000","500000"
"AFT PHARMACEUTICALS LIMITED","AFP","Pharmaceuticals, Biotechnology & Life Sciences",,"2.2500","2.2500","0.0407","1500"
"AFTERPAY TOUCH GROUP LIMITED","APT","Software & Services","4.2700","4.3000","4.2500","-0.0299","46186"
"AGL ENERGY LIMITED.","AGL","Utilities","22.6900","22.7500","22.6600","-0.0998","247855"
"AGRICULTURAL LAND TRUST","AGJ","Real Estate",,"0.0500","0.0500","0.0010","4000"
"AGRIMIN LIMITED","AMN","Materials","0.5050","0.5100","0.5050","0.0051","19488"
"AGUIA RESOURCES LIMITED","AGR","Materials","0.4300","0.4300","0.4300","0.0102","1576"
"AHALIFE HOLDINGS LIMITED","AHL","Software & Services","0.0170","0.0170","0.0170","0.0011","394611"
"AIMS PROPERTY SECURITIES FUND","APW","Real Estate","1.6100","1.6200","1.6100","-0.0100","25000"
"AINSWORTH GAME TECHNOLOGY LIMITED","AGI","Consumer Services","2.4900","2.5000","2.4800","0.0050","10779"
"AIR NEW ZEALAND LIMITED","AIZ","Transportation",,"","","",""
"AIRXPANDERS, INC.","AXP","Health Care Equipment & Services","0.7350","0.7350","0.7350","-0.0242","22"
"AJ LUCAS GROUP LIMITED","AJL","Capital Goods","0.2050","0.2100","0.2000","-0.0095","106705"
"ALACER GOLD CORP.","AQG","Materials","2.2400","2.2400","2.2100","0.0101","12445"
"ALARA RESOURCES LIMITED","AUQ","Materials","0.0160","0.0160","0.0160","0.0000","198431"
"ALCHEMIA LIMITED","ACL","Pharmaceuticals, Biotechnology & Life Sciences","0.0070","0.0070","0.0070","0.0000","921"
"ALCHEMY RESOURCES LIMITED","ALY","Materials","0.0200","0.0200","0.0200","0.0000","285000"
"ALCIDION GROUP LIMITED","ALC","Health Care Equipment & Services","0.0530","0.0530","0.0530","0.0000","228792"
"ALDERAN RESOURCES LIMITED","AL8","Materials","1.7400","1.7400","1.7300","-0.0099","3190"
"ALE PROPERTY GROUP","LEP","Real Estate","4.8800","4.8800","4.8000","0.0000","13573"
"ALEXIUM INTERNATIONAL GROUP LIMITED","AJX","Materials","0.4000","0.4000","0.4000","-0.0049","19"
"ALGAE.TEC LIMITED","AEB","Energy","0.0250","0.0250","0.0240","0.0000","2373776"
"ALICANTO MINERALS LIMITED","AQI","Materials","0.1300","0.1300","0.1300","0.0000","44100"
"ALICE QUEEN LIMITED","AQX","Energy","0.0470","0.0470","0.0470","0.0010","125000"
"ALKANE RESOURCES LIMITED","ALK","Materials","0.3300","0.3350","0.3300","-0.0049","140106"
"ALLEGIANCE COAL LIMITED","AHQ","Energy","0.0340","0.0350","0.0340","0.0010","178570"
"ALLEGRA ORTHOPAEDICS LIMITED","AMT","Health Care Equipment & Services","0.1500","0.1500","0.1500","0.0000","1279"
"ALLIANCE AVIATION SERVICES LIMITED","AQZ","Transportation","1.2800","1.2850","1.2750","-0.0050","27864"
"ALLIANCE RESOURCES LIMITED","AGS","Materials","0.0900","0.0900","0.0900","0.0076","2640"
"ALLIGATOR ENERGY LIMITED","AGE","Energy","0.0100","0.0100","0.0100","0.0000","99249"
"ALLOY RESOURCES LIMITED","AYR","Materials","0.0050","0.0050","0.0050","0.0000","400000"
"ALS LIMITED","ALQ","Commercial & Professional Services","7.9700","7.9900","7.9500","0.0104","148465"
"ALT RESOURCES LIMITED","ARS","Materials","0.0620","0.0620","0.0620","0.0000","15000"
"ALTECH CHEMICALS LTD","ATC","Materials","0.1550","0.1550","0.1500","0.0052","148273"
"ALTERNATIVE INVESTMENT TRUST","AIQ","Not Applic","0.0800","0.0800","0.0800","0.0020","6274"
"ALTERRA LIMITED","1AG","Commercial & Professional Services","0.0380","0.0420","0.0380","0.0033","178100"
"ALTIUM LIMITED","ALU","Software & Services","11.0250","11.0450","10.9400","0.1114","90855"
"ALTO METALS LIMITED","AME","Energy","0.0910","0.0910","0.0910","0.0000","92792"
"ALTONA MINING LIMITED","AOH","Materials","0.1300","0.1300","0.1300","0.0000","94671"
