"Company name","ASX code","GICS industry group","Price","High","Low","Change","Volume"
"ISHARES S&P MID-CAP ETF","IJH","Not Applic",,"","","",""
"MOQ LIMITED","MOQ","Software & Services","0.2600","0.2600","0.2600","0.0000","10000"
"1-PAGE LIMITED","1PG","Software & Services",,"","","",""
"1300 SMILES LIMITED","ONT","Health Care Equipment & Services","6.3700","6.3700","6.3700","-0.0299","2309"
"1ST GROUP LIMITED","1ST","Health Care Equipment & Services","0.0420","0.0420","0.0420","0.0000","65169"
"333D LIMITED","T3D","Technology Hardware & Equipment","0.0070","0.0070","0.0070","0.0000","1234874"
"360 CAPITAL GROUP","TGP","Real Estate","0.9600","0.9950","0.9600","-0.0196","4316"
"360 CAPITAL TOTAL RETURN FUND","TOT","Not Applic","1.1700","1.1700","1.1700","-0.0099","10000"
"3D OIL LIMITED","TDO","Energy","0.0550","0.0550","0.0550","0.0055","8006"
"3D RESOURCES LIMITED","DDD","Materials","0.0120","0.0120","0.0120","0.0011","100000"
"3P LEARNING LIMITED..","3PL","Consumer Services","1.1850","1.1850","1.1850","0.0256","1808"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment","0.0270","0.0270","0.0270","-0.0010","153025"
"88 ENERGY LIMITED","88E","Energy","0.0200","0.0200","0.0200","0.0000","5027"
"8COMMON LIMITED","8CO","Software & Services","0.0520","0.0520","0.0520","0.0021","11950"
"8I HOLDINGS LTD","8IH","Diversified Financials","0.4000","0.4000","0.4000","0.0000","6000"
"8IP EMERGING COMPANIES LIMITED","8EC","Not Applic","1.0000","1.0000","1.0000","0.0309","2000"
"9 SPOKES INTERNATIONAL LIMITED","9SP","Software & Services","0.1100","0.1100","0.1100","0.0000","100000"
"99 WUXIAN LIMITED","NNW","Retailing","0.0600","0.0600","0.0550","0.0021","10000"
"A-CAP RESOURCES LIMITED","ACB","Energy","0.0540","0.0600","0.0540","0.0000","46679"
"A.C.N. 004 410 833 LIMITED","ARI","Materials",,"","","",""
"A1 INVESTMENTS & RESOURCES LTD","AYI","Diversified Financials",,"","","",""
"ABACUS PROPERTY GROUP","ABP","Real Estate","3.7750","3.7850","3.7700","0.0200","139078"
"ABERDEEN LEADERS LIMITED","ALR","Diversified Financials","1.1650","1.1650","1.1650","0.0000","5000"
"ABILENE OIL AND GAS LIMITED","ABL","Energy","0.0070","0.0070","0.0070","0.0000","13500"
"ABM RESOURCES NL","ABU","Materials","0.1200","0.1200","0.1200","0.0000","33038"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","AEG","Not Applic","1.0050","1.0200","1.0000","-0.0050","29800"
"ABUNDANT PRODUCE LIMITED","ABT","Food, Beverage & Tobacco","0.4400","0.4400","0.4400","0.0000","896"
"ACACIA COAL LIMITED","AJC","Energy",,"","","",""
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services","0.3400","0.3400","0.3400","0.0051","10427"
"ACCENT RESOURCES NL","ACS","Materials","0.0220","0.0220","0.0220","0.0000","2500"
"ACONEX LIMITED","ACX","Software & Services","3.9650","4.0000","3.9650","-0.0250","62779"
"ACORN CAPITAL INVESTMENT FUND LIMITED","ACQ","Not Applic","0.9700","0.9700","0.9700","0.0152","20000"
"ACRUX LIMITED","ACR","Pharmaceuticals, Biotechnology & Life Sciences","0.1500","0.1500","0.1450","0.0000","17865"
"ACTINOGEN MEDICAL LIMITED","ACW","Pharmaceuticals, Biotechnology & Life Sciences","0.0560","0.0560","0.0560","-0.0010","30000"
"ACTIVEX LIMITED","AIV","Materials","0.1800","0.1800","0.1700","0.0000","45500"
"ACTIVISTIC LIMITED","ACU","Software & Services",,"","","",""
"ADACEL TECHNOLOGIES LIMITED","ADA","Software & Services","2.8800","2.8900","2.8700","0.0000","35156"
"ADAIRS LIMITED","ADH","Retailing","1.5600","1.5700","1.5350","-0.0119","14542"
"ADALTA LIMITED","1AD","Pharmaceuticals, Biotechnology & Life Sciences","0.2250","0.2250","0.2250","0.0000","20000"
"ADAVALE RESOURCES LIMITED","ADD","Energy",,"0.0150","0.0150","0.0000","27409"
"ADCORP AUSTRALIA LIMITED","AAU","Media",,"0.0090","0.0090","0.0000","20000"
"ADELAIDE BRIGHTON LIMITED","ABC","Materials","5.8400","5.8450","5.8200","0.0099","323516"
"ADG GLOBAL SUPPLY LIMITED.","ADQ","Capital Goods",,"","","",""
"ADHERIUM LIMITED","ADR","Health Care Equipment & Services","0.1300","0.1300","0.1250","0.0052","146660"
"ADMEDUS LTD","AHZ","Health Care Equipment & Services","0.2550","0.2550","0.2550","0.0000","185436"
"ADMIRALTY RESOURCES NL.","ADY","Materials","0.0070","0.0070","0.0070","-0.0009","201429"
"ADSLOT LTD","ADJ","Software & Services","0.0500","0.0520","0.0500","0.0021","171000"
