"Company name","ASX code","GICS industry group","Price","High","Low","Change","Volume"
"ISHARES S&P MID-CAP ETF","IJH","Not Applic",,"","","",""
"MOQ LIMITED","MOQ","Software & Services","0.2500","0.2500","0.2500","0.0625","6000"
"1-PAGE LIMITED","1PG","Software & Services",,"","","",""
"1300 SMILES LIMITED","ONT","Health Care Equipment & Services","6.6700","6.7000","6.6700","0.0300","750"
"1ST GROUP LIMITED","1ST","Health Care Equipment & Services","0.0570","0.0570","0.0570","0.0021","15762"
"333D LIMITED","T3D","Technology Hardware & Equipment","0.0060","0.0060","0.0060","0.0000","83391"
"360 CAPITAL GROUP","TGP","Real Estate","0.9850","0.9900","0.9650","0.0050","85966"
"360 CAPITAL TOTAL RETURN FUND","TOT","Not Applic","1.1850","1.1850","1.1800","-0.0148","32000"
"3D OIL LIMITED","TDO","Energy","0.0700","0.0700","0.0700","0.0000","125000"
"3D RESOURCES LIMITED","DDD","Materials","0.0120","0.0120","0.0120","0.0000","1000000"
"3P LEARNING LIMITED..","3PL","Consumer Services","1.3300","1.3350","1.3300","0.0000","65311"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment","0.0290","0.0290","0.0290","0.0000","15000"
"88 ENERGY LIMITED","88E","Energy","0.0170","0.0180","0.0170","0.0000","30303"
"8COMMON LIMITED","8CO","Software & Services","0.0550","0.0550","0.0550","0.0000","20000"
"8I HOLDINGS LTD","8IH","Diversified Financials","0.3750","0.3750","0.3750","0.0000","1000"
"8IP EMERGING COMPANIES LIMITED","8EC","Not Applic","1.0000","1.0000","0.9800","0.0256","431342"
"9 SPOKES INTERNATIONAL LIMITED","9SP","Software & Services","0.1100","0.1100","0.1100","-0.0048","5000"
"99 WUXIAN LIMITED","NNW","Retailing","0.0560","0.0560","0.0560","0.0010","29735"
"A-CAP RESOURCES LIMITED","ACB","Energy","0.0480","0.0500","0.0480","-0.0019","324866"
"A.C.N. 004 410 833 LIMITED","ARI","Materials",,"","","",""
"A1 INVESTMENTS & RESOURCES LTD","AYI","Diversified Financials",,"","","",""
"ABACUS PROPERTY GROUP","ABP","Real Estate","3.8000","3.8100","3.8000","-0.0198","82529"
"ABERDEEN LEADERS LIMITED","ALR","Diversified Financials","1.1700","1.1700","1.1700","0.0204","870"
"ABILENE OIL AND GAS LIMITED","ABL","Energy","0.0070","0.0070","0.0070","0.0000","1143"
"ABM RESOURCES NL","ABU","Materials","0.1200","0.1200","0.1200","0.0000","4831"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","AEG","Not Applic","1.0600","1.0600","1.0550","0.0000","53774"
"ABUNDANT PRODUCE LIMITED","ABT","Food, Beverage & Tobacco","0.4700","0.4700","0.4700","-0.0049","2706"
"ACACIA COAL LIMITED","AJC","Energy",,"","","",""
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services","0.3300","0.3300","0.3300","0.0000","165463"
"ACCENT RESOURCES NL","ACS","Materials",,"0.0220","0.0220","0.0000","2500"
